frequency (Hz),magnitude L (dB),phase L (deg),magnitude R (dB),phase R (deg)
3795.9483,6.0976,2.0179,6.0976,2.0179
3807.6641,6.0783,1.9556,6.0783,1.9556
3819.3800,6.0621,1.8969,6.0621,1.8969
3831.0959,6.0484,1.8358,6.0484,1.8358
3842.8118,6.0365,1.7709,6.0365,1.7709
3854.5277,6.0262,1.7021,6.0262,1.7021
3866.2436,6.0172,1.6289,6.0172,1.6289
3877.9595,6.0091,1.5502,6.0091,1.5502
3889.6754,6.0016,1.4691,6.0016,1.4691
3901.3913,5.9949,1.3833,5.9949,1.3833
3913.1072,5.9886,1.2957,5.9886,1.2957
3924.8230,5.9827,1.2040,5.9827,1.2040
3936.5389,5.9770,1.1105,5.9770,1.1105
3948.2548,5.9718,1.0150,5.9718,1.0150
3959.9707,5.9666,0.9159,5.9666,0.9159
3971.6866,5.9617,0.8162,5.9617,0.8162
3983.4025,5.9570,0.7139,5.9570,0.7139
3995.1184,5.9525,0.6096,5.9525,0.6096
4006.8343,5.9480,0.5047,5.9480,0.5047
4018.5502,5.9437,0.3967,5.9437,0.3967
4030.2660,5.9394,0.2880,5.9394,0.2880
4041.9819,5.9352,0.1786,5.9352,0.1786
4053.6978,5.9308,0.0676,5.9308,0.0676
4065.4137,5.9268,-0.0462,5.9268,-0.0462
4077.1296,5.9226,-0.1605,5.9226,-0.1605
4088.8455,5.9183,-0.2768,5.9183,-0.2768
4100.5614,5.9141,-0.3936,5.9141,-0.3936
4112.2773,5.9097,-0.5123,5.9097,-0.5123
4123.9932,5.9054,-0.6319,5.9054,-0.6319
4135.7091,5.9009,-0.7542,5.9009,-0.7542
4147.4249,5.8962,-0.8761,5.8962,-0.8761
4159.1408,5.8915,-1.0008,5.8915,-1.0008
4170.8567,5.8864,-1.1254,5.8864,-1.1254
4182.5726,5.8812,-1.2525,5.8812,-1.2525
4194.2885,5.8757,-1.3804,5.8757,-1.3804
4206.0044,5.8699,-1.5090,5.8699,-1.5090
4217.7203,5.8641,-1.6383,5.8641,-1.6383
4229.4362,5.8575,-1.7686,5.8575,-1.7686
4241.1521,5.8508,-1.8991,5.8508,-1.8991
4252.8680,5.8439,-2.0317,5.8439,-2.0317
4264.5838,5.8363,-2.1619,5.8363,-2.1619
4276.2997,5.8284,-2.2937,5.8284,-2.2937
4288.0156,5.8202,-2.4247,5.8202,-2.4247
4299.7315,5.8114,-2.5545,5.8114,-2.5545
4311.4474,5.8023,-2.6851,5.8023,-2.6851
4323.1633,5.7925,-2.8141,5.7925,-2.8141
4334.8792,5.7823,-2.9415,5.7823,-2.9415
4346.5951,5.7716,-3.0671,5.7716,-3.0671
4358.3110,5.7605,-3.1910,5.7605,-3.1910
4370.0268,5.7488,-3.3120,5.7488,-3.3120
4381.7427,5.7367,-3.4304,5.7367,-3.4304
4393.4586,5.7241,-3.5463,5.7241,-3.5463
4405.1745,5.7111,-3.6572,5.7111,-3.6572
4416.8904,5.6976,-3.7647,5.6976,-3.7647
4428.6063,5.6839,-3.8670,5.6839,-3.8670
4440.3222,5.6700,-3.9658,5.6700,-3.9658
4452.0381,5.6558,-4.0588,5.6558,-4.0588
4463.7540,5.6411,-4.1455,5.6411,-4.1455
4475.4699,5.6265,-4.2266,5.6265,-4.2266
4487.1857,5.6118,-4.3019,5.6118,-4.3019
4498.9016,5.5971,-4.3711,5.5971,-4.3711
4510.6175,5.5826,-4.4311,5.5826,-4.4311
4522.3334,5.5682,-4.4872,5.5682,-4.4872
4534.0493,5.5546,-4.5357,5.5546,-4.5357
4545.7652,5.5411,-4.5751,5.5411,-4.5751
4557.4811,5.5283,-4.6085,5.5283,-4.6085
4569.1970,5.5165,-4.6367,5.5165,-4.6367
4580.9129,5.5053,-4.6558,5.5053,-4.6558
4592.6288,5.4953,-4.6700,5.4953,-4.6700
4604.3446,5.4863,-4.6794,5.4863,-4.6794
4616.0605,5.4785,-4.6821,5.4785,-4.6821
4627.7764,5.4722,-4.6801,5.4722,-4.6801
4639.4923,5.4674,-4.6759,5.4674,-4.6759
4651.2082,5.4640,-4.6677,5.4640,-4.6677
4662.9241,5.4628,-4.6569,5.4628,-4.6569
4674.6400,5.4630,-4.6454,5.4630,-4.6454
4686.3559,5.4649,-4.6358,5.4649,-4.6358
4698.0718,5.4690,-4.6268,5.4690,-4.6268
4709.7876,5.4750,-4.6201,5.4750,-4.6201
4721.5035,5.4826,-4.6192,5.4826,-4.6192
4733.2194,5.4926,-4.6229,5.4926,-4.6229
4744.9353,5.5044,-4.6325,5.5044,-4.6325
4756.6512,5.5176,-4.6500,5.5176,-4.6500
4768.3671,5.5329,-4.6785,5.5329,-4.6785
4780.0830,5.5498,-4.7154,5.5498,-4.7154
4791.7989,5.5682,-4.7653,5.5682,-4.7653
4803.5148,5.5882,-4.8290,5.5882,-4.8290
4815.2307,5.6092,-4.9038,5.6092,-4.9038
4826.9465,5.6318,-4.9957,5.6318,-4.9957
4838.6624,5.6550,-5.1045,5.6550,-5.1045
4850.3783,5.6791,-5.2276,5.6791,-5.2276
4862.0942,5.7040,-5.3686,5.7040,-5.3686
4873.8101,5.7290,-5.5279,5.7290,-5.5279
4885.5260,5.7542,-5.7059,5.7542,-5.7059
4897.2419,5.7797,-5.9023,5.7797,-5.9023
4908.9578,5.8049,-6.1180,5.8049,-6.1180
4920.6737,5.8296,-6.3530,5.8296,-6.3530
4932.3896,5.8539,-6.6082,5.8539,-6.6082
4944.1054,5.8773,-6.8816,5.8773,-6.8816
4955.8213,5.8995,-7.1755,5.8995,-7.1755
4967.5372,5.9206,-7.4885,5.9206,-7.4885
4979.2531,5.9402,-7.8212,5.9402,-7.8212
4990.9690,5.9581,-8.1737,5.9581,-8.1737
5002.6849,5.9741,-8.5438,5.9741,-8.5438
5014.4008,5.9879,-8.9322,5.9879,-8.9322
5026.1167,5.9995,-9.3373,5.9995,-9.3373
5037.8326,6.0085,-9.7593,6.0085,-9.7593
5049.5485,6.0150,-10.1979,6.0150,-10.1979
5061.2643,6.0185,-10.6516,6.0185,-10.6516
5072.9802,6.0187,-11.1195,6.0187,-11.1195
5084.6961,6.0160,-11.6003,6.0160,-11.6003
5096.4120,6.0097,-12.0971,6.0097,-12.0971
5108.1279,6.0002,-12.6031,6.0002,-12.6031
5119.8438,5.9865,-13.1187,5.9865,-13.1187
5131.5597,5.9692,-13.6481,5.9692,-13.6481
5143.2756,5.9479,-14.1834,5.9479,-14.1834
5154.9915,5.9223,-14.7275,5.9223,-14.7275
5166.7073,5.8926,-15.2786,5.8926,-15.2786
5178.4232,5.8583,-15.8354,5.8583,-15.8354
5190.1391,5.8191,-16.3975,5.8191,-16.3975
5201.8550,5.7757,-16.9634,5.7757,-16.9634
5213.5709,5.7272,-17.5313,5.7272,-17.5313
5225.2868,5.6733,-18.1018,5.6733,-18.1018
5237.0027,5.6140,-18.6735,5.6140,-18.6735
5248.7186,5.5494,-19.2424,5.5494,-19.2424
5260.4345,5.4784,-19.8089,5.4784,-19.8089
5272.1504,5.4014,-20.3716,5.4014,-20.3716
5283.8662,5.3180,-20.9276,5.3180,-20.9276
5295.5821,5.2277,-21.4741,5.2277,-21.4741
5307.2980,5.1303,-22.0114,5.1303,-22.0114
5319.0139,5.0252,-22.5323,5.0252,-22.5323
5330.7298,4.9122,-23.0337,4.9122,-23.0337
5342.4457,4.7908,-23.5131,4.7908,-23.5131
5354.1616,4.6609,-23.9622,4.6609,-23.9622
5365.8775,4.5219,-24.3777,4.5219,-24.3777
5377.5934,4.3734,-24.7525,4.3734,-24.7525
5389.3093,4.2156,-25.0763,4.2156,-25.0763
5401.0251,4.0481,-25.3405,4.0481,-25.3405
5412.7410,3.8711,-25.5365,3.8711,-25.5365
5424.4569,3.6849,-25.6512,3.6849,-25.6512
5436.1728,3.4898,-25.6703,3.4898,-25.6703
5447.8887,3.2872,-25.5835,3.2872,-25.5835
5459.6046,3.0781,-25.3746,3.0781,-25.3746
5471.3205,2.8646,-25.0296,2.8646,-25.0296
5483.0364,2.6489,-24.5360,2.6489,-24.5360
5494.7523,2.4343,-23.8806,2.4343,-23.8806
5506.4681,2.2243,-23.0556,2.2243,-23.0556
5518.1840,2.0231,-22.0546,2.0231,-22.0546
5529.8999,1.8359,-20.8836,1.8359,-20.8836
5541.6158,1.6672,-19.5464,1.6672,-19.5464
5553.3317,1.5221,-18.0637,1.5221,-18.0637
5565.0476,1.4049,-16.4568,1.4049,-16.4568
5576.7635,1.3190,-14.7645,1.3190,-14.7645
5588.4794,1.2670,-13.0173,1.2670,-13.0173
5600.1953,1.2494,-11.2605,1.2494,-11.2605
5611.9112,1.2660,-9.5355,1.2660,-9.5355
5623.6270,1.3142,-7.8809,1.3142,-7.8809
5635.3429,1.3907,-6.3260,1.3907,-6.3260
5647.0588,1.4915,-4.8945,1.4915,-4.8945
5658.7747,1.6121,-3.6095,1.6121,-3.6095
5670.4906,1.7477,-2.4735,1.7477,-2.4735
5682.2065,1.8940,-1.4931,1.8940,-1.4931
5693.9224,2.0470,-0.6640,2.0470,-0.6640
5705.6383,2.2033,0.0196,2.2033,0.0196
5717.3542,2.3598,0.5694,2.3598,0.5694
5729.0701,2.5144,0.9968,2.5144,0.9968
5740.7859,2.6657,1.3121,2.6657,1.3121
5752.5018,2.8115,1.5286,2.8115,1.5286
5764.2177,2.9515,1.6577,2.9515,1.6577
5775.9336,3.0847,1.7111,3.0847,1.7111
5787.6495,3.2109,1.6976,3.2109,1.6976
5799.3654,3.3295,1.6267,3.3295,1.6267
5811.0813,3.4411,1.5094,3.4411,1.5094
5822.7972,3.5454,1.3492,3.5454,1.3492
5834.5131,3.6427,1.1549,3.6427,1.1549
5846.2289,3.7329,0.9324,3.7329,0.9324
5857.9448,3.8169,0.6843,3.8169,0.6843
5869.6607,3.8942,0.4174,3.8942,0.4174
5881.3766,3.9660,0.1346,3.9660,0.1346
5893.0925,4.0318,-0.1598,4.0318,-0.1598
5904.8084,4.0922,-0.4649,4.0922,-0.4649
5916.5243,4.1477,-0.7766,4.1477,-0.7766
5928.2402,4.1985,-1.0955,4.1985,-1.0955
5939.9561,4.2446,-1.4168,4.2446,-1.4168
5951.6720,4.2864,-1.7408,4.2864,-1.7408
5963.3878,4.3244,-2.0644,4.3244,-2.0644
5975.1037,4.3588,-2.3894,4.3588,-2.3894
5986.8196,4.3894,-2.7123,4.3894,-2.7123
5998.5355,4.4169,-3.0318,4.4169,-3.0318
6010.2514,4.4413,-3.3508,4.4413,-3.3508
6021.9673,4.4628,-3.6654,4.4628,-3.6654
